waypoint1	waypoint2	distance_m	duration_s
Old Port of Marseille	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	501652	17343
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Crimeo 114, 6563 Mesocco, Switzerland"	998306	35136
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	137302	6330
"Piazza San Pietro, Vatican City"	"Grand Place, Brussels, Belgium"	1483915	52684
"Place du Capitole, Toulouse, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1533252	50851
"Piazza San Pietro, Vatican City"	"Crimeo 114, 6563 Mesocco, Switzerland"	714251	25157
"Castle Hill, Nice, France"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	606666	22009
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Oberstdorf, Germany"	1178239	42866
"Place du Capitole, Toulouse, France"	"Piazza della Signoria, Florence, Italy"	993211	35135
"BMW Welt, Munich, Germany"	"Piazza della Signoria, Florence, Italy"	656491	24407
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Oberstdorf, Germany"	932452	34464
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Andorra la Vella, Andorra"	1273075	48056
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	917170	31734
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	511296	18614
"Place du Capitole, Toulouse, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1059528	36283
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Grand Place, Brussels, Belgium"	308509	11351
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	513294	18959
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Castle Hill, Nice, France"	701199	26712
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1082564	38648
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Oberstdorf, Germany"	934928	34432
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1660924	58244
"Parc national des Calanques, Marseille, France"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	457575	17358
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	872859	32538
"Piazza San Pietro, Vatican City"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	509843	18627
"Castle Hill, Nice, France"	"Piazza della Signoria, Florence, Italy"	425001	17543
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Palace of Westminster, London, United Kingdom"	1871184	65444
