waypoint1	waypoint2	distance_m	duration_s
"Place du Capitole, Toulouse, France"	"Port Hercule, Monte Carlo, Monaco"	590514	19978
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	581756	21139
"Place du Palais, Monaco-Ville, Monaco"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	413623	17045
"Place de la Bourse, Bordeaux, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1102642	34167
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Crimeo 114, 6563 Mesocco, Switzerland"	613952	22239
"Oberstdorf, Germany"	"Grand Place, Brussels, Belgium"	743702	26945
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Mont Boron, Nice, France"	609634	21945
"Castle Hill, Nice, France"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	702307	26905
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Place de la Comedie, Montpellier, France"	645187	24436
"BMW Welt, Munich, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	655867	24419
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1432956	48824
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Grand Place, Brussels, Belgium"	1484280	52855
"Oberstdorf, Germany"	"Place de la Comedie, Montpellier, France"	898501	33309
"Place du Palais, Monaco-Ville, Monaco"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1137116	37323
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Mont Boron, Nice, France"	940778	30577
"Place de la Bourse, Bordeaux, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1116330	39267
"Vernazza, Province of La Spezia, Italy"	"Piazza San Pietro, Vatican City"	458628	17884
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	862599	29646
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	279275	10836
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	1213708	43251
"Parc national des Calanques, Marseille, France"	"Promenade des Anglais, Nice, France"	206601	7893
"Port Hercule, Monte Carlo, Monaco"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1137034	37313
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Place de la Comedie, Montpellier, France"	520798	19631
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	134770	5995
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Port Hercule, Monte Carlo, Monaco"	1006718	32834
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Eiffel Tower, Avenue Anatole France, Paris, France"	506350	18589
"Place du Palais, Monaco-Ville, Monaco"	"Place de la Bourse, Bordeaux, France"	824611	27056
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	148222	7290
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	332488	12669
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	1274572	45001
"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	"Place de la Comedie, Montpellier, France"	817431	29407
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1358458	47694
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1279659	44733
"Castle Hill, Nice, France"	"Promenade des Anglais, Nice, France"	2049	530
"Port Hercule, Monte Carlo, Monaco"	"Crimeo 114, 6563 Mesocco, Switzerland"	433585	16763
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1306158	46832
Old Port of Marseille	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	684580	25437
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	804296	29718
"BMW Welt, Munich, Germany"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	636991	24725
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Piazza della Signoria, Florence, Italy"	1680	492
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Andorra la Vella, Andorra"	196366	9161
"Vernazza, Province of La Spezia, Italy"	"Grand Place, Brussels, Belgium"	1131968	42899
"Piazza della Signoria, Florence, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	520	176
"Vernazza, Province of La Spezia, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	366424	15800
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	857049	30029
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Place de la Comedie, Montpellier, France"	1025332	37459
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	249273	10615
"BMW Welt, Munich, Germany"	"Promenade des Anglais, Nice, France"	804681	30745
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	557986	23137
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	6935	1135
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Piazza della Signoria, Florence, Italy"	235989	9597
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	536728	19332
Old Port of Marseille	"Grauwallring 2, 27580, Bremerhaven, Germany"	1410462	47135
"Piazza della Signoria, Florence, Italy"	"Port Hercule, Monte Carlo, Monaco"	412898	16909
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	318310	12451
"Piazza San Pietro, Vatican City"	"Port Hercule, Monte Carlo, Monaco"	686752	25939
"Parc national des Calanques, Marseille, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	632680	24193
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Andorra la Vella, Andorra"	1358720	48117
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Andorra la Vella, Andorra"	1340810	50905
"Port Hercule, Monte Carlo, Monaco"	"Palace of Westminster, London, United Kingdom"	1414371	48371
"Vernazza, Province of La Spezia, Italy"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	99159	6330
"Place du Palais, Monaco-Ville, Monaco"	"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	1409765	46989
"Andorra la Vella, Andorra"	"Place de la Comedie, Montpellier, France"	320036	15049
"Place du Capitole, Toulouse, France"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	887285	31313
"Oberstdorf, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	660178	25551
"BMW Welt, Munich, Germany"	Old Port of Marseille	1046985	35860
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Place de la Comedie, Montpellier, France"	338792	12031
"Grand Place, Brussels, Belgium"	"Mont Boron, Nice, France"	1198994	39790
"BMW Welt, Munich, Germany"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	927534	33398
"Vernazza, Province of La Spezia, Italy"	"Place du Capitole, Toulouse, France"	860822	31721
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Grand Place, Brussels, Belgium"	744313	27044
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	171898	7980
"Parc national des Calanques, Marseille, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1417796	47859
"Piazza della Signoria, Florence, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	442282	16454
Old Port of Marseille	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	640580	24227
"Piazza San Pietro, Vatican City"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1356114	47555
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Mont Boron, Nice, France"	728157	29216
"Place du Palais, Monaco-Ville, Monaco"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	307394	13100
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	278828	10778
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	276118	10465
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	924925	33993
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	313257	12969
"Place de la Bourse, Bordeaux, France"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	1183886	42888
"Vernazza, Province of La Spezia, Italy"	"Mont Boron, Nice, France"	291930	13777
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Castle Hill, Nice, France"	937810	30641
"Castle Hill, Nice, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	445689	17396
"BMW Welt, Munich, Germany"	"Port Hercule, Monte Carlo, Monaco"	791915	30169
"Oberstdorf, Germany"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	931846	34531
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1276570	45346
"Promenade des Anglais, Nice, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	480947	18988
"BMW Welt, Munich, Germany"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	493100	19401
"Place de la Bourse, Bordeaux, France"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1501444	51404
"Parc national des Calanques, Marseille, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	687660	25573
"Place du Palais, Monaco-Ville, Monaco"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	689516	26091
"Castle Hill, Nice, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	933990	30486
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	452515	16599
"Castle Hill, Nice, France"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1454994	51325
"BMW Welt, Munich, Germany"	"Crimeo 114, 6563 Mesocco, Switzerland"	357823	13464
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Mont Boron, Nice, France"	988198	32120
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Castle Hill, Nice, France"	194687	8916
"Promenade des Anglais, Nice, France"	"Place de la Comedie, Montpellier, France"	325337	12082
"Crimeo 114, 6563 Mesocco, Switzerland"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	441659	16466
"Place du Palais, Monaco-Ville, Monaco"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	628236	22668
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	1240421	44329
"Oberstdorf, Germany"	"Promenade des Anglais, Nice, France"	667319	28047
"Place du Palais, Monaco-Ville, Monaco"	"Crimeo 114, 6563 Mesocco, Switzerland"	434006	16775
"Castle Hill, Nice, France"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	480285	19047
"BMW Welt, Munich, Germany"	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	514709	19375
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	502287	18408
"BMW Welt, Munich, Germany"	"Eiffel Tower, Avenue Anatole France, Paris, France"	833746	28579
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Port Hercule, Monte Carlo, Monaco"	424181	17202
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Grand Place, Brussels, Belgium"	1487367	53016
"Vernazza, Province of La Spezia, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	458993	18054
"Place du Capitole, Toulouse, France"	"Eiffel Tower, Avenue Anatole France, Paris, France"	677220	22164
"Parc national des Calanques, Marseille, France"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	526451	20247
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Palace of Westminster, London, United Kingdom"	1126624	40887
"Place du Capitole, Toulouse, France"	"Andorra la Vella, Andorra"	192284	9719
"BMW Welt, Munich, Germany"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	1367010	46273
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1476742	49299
"BMW Welt, Munich, Germany"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	930170	33241
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	561812	23490
"Place de la Bourse, Bordeaux, France"	"Place de la Comedie, Montpellier, France"	483757	15710
"Vernazza, Province of La Spezia, Italy"	"Place de la Comedie, Montpellier, France"	618725	24844
"Place du Palais, Monaco-Ville, Monaco"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	688626	25938
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1430224	48485
"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	476255	18116
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Piazza San Pietro, Vatican City"	1657473	57912
"BMW Welt, Munich, Germany"	"Place du Capitole, Toulouse, France"	1277960	42883
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Place de la Bourse, Bordeaux, France"	1087805	36323
"Place du Palais, Monaco-Ville, Monaco"	"Eiffel Tower, Avenue Anatole France, Paris, France"	955561	31145
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1431115	48638
Old Port of Marseille	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	959122	31288
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1097168	38963
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	1217468	43781
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1678261	56873
"Piazza della Signoria, Florence, Italy"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	308076	12305
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	475453	16808
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	832197	29305
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Grand Place, Brussels, Belgium"	905791	33957
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Mont Boron, Nice, France"	661043	22654
"Piazza San Pietro, Vatican City"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	870702	32349
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	751004	26996
Old Port of Marseille	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	828806	26809
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	830421	28461
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	855706	30428
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Promenade des Anglais, Nice, France"	319737	13663
"Grand Place, Brussels, Belgium"	"Andorra la Vella, Andorra"	1162839	41285
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	274835	10965
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Promenade des Anglais, Nice, France"	195349	8857
"Vernazza, Province of La Spezia, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	462079	18215
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	1434934	48793
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Port Hercule, Monte Carlo, Monaco"	679564	23368
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	853231	29874
"Place de la Bourse, Bordeaux, France"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	1000671	34107
"Place du Capitole, Toulouse, France"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	1270516	44497
"BMW Welt, Munich, Germany"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	666724	24552
"Port Hercule, Monte Carlo, Monaco"	"Eiffel Tower, Avenue Anatole France, Paris, France"	955479	31136
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	834241	28616
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1751746	58192
"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	"Andorra la Vella, Andorra"	1259977	44835
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	508143	17652
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	579120	21297
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	1148578	39673
"Vernazza, Province of La Spezia, Italy"	"Andorra la Vella, Andorra"	931117	38129
"Oberstdorf, Germany"	"Grauwallring 2, 27580, Bremerhaven, Germany"	845398	28227
"Place de la Bourse, Bordeaux, France"	"Grand Place, Brussels, Belgium"	891925	29491
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Grauwallring 2, 27580, Bremerhaven, Germany"	362017	13650
"BMW Welt, Munich, Germany"	"Pantheon, Piazza della Rotonda, Rome, Italy"	928141	33331
"Parc national des Calanques, Marseille, France"	"Place du Capitole, Toulouse, France"	419935	14677
"Piazza della Signoria, Florence, Italy"	"Oberstdorf, Germany"	660802	25540
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Mont Boron, Nice, France"	701624	26553
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Andorra la Vella, Andorra"	1339702	50712
Old Port of Marseille	"Eiffel Tower, Avenue Anatole France, Paris, France"	777567	25111
"Vernazza, Province of La Spezia, Italy"	"Palace of Westminster, London, United Kingdom"	1453384	53193
"Oberstdorf, Germany"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	187091	9152
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Place de la Bourse, Bordeaux, France"	1503423	51373
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	870383	32570
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	278661	11319
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1752636	58345
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Mont Boron, Nice, France"	936958	30422
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Palace of Westminster, London, United Kingdom"	582006	23908
"Castle Hill, Nice, France"	"Place du Capitole, Toulouse, France"	569025	19328
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	582203	21198
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Mont Boron, Nice, France"	1454591	51393
"Vernazza, Province of La Spezia, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	185078	8977
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Crimeo 114, 6563 Mesocco, Switzerland"	713326	25446
"Piazza della Signoria, Florence, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	476878	18105
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Promenade des Anglais, Nice, France"	700970	26501
"Place de la Bourse, Bordeaux, France"	"Andorra la Vella, Andorra"	426299	16787
"Crimeo 114, 6563 Mesocco, Switzerland"	"Place de la Comedie, Montpellier, France"	782835	27756
"Parc national des Calanques, Marseille, France"	"Place de la Bourse, Bordeaux, France"	653950	21746
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Mont Boron, Nice, France"	1391162	46265
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Mont Boron, Nice, France"	318393	13369
"Place du Palais, Monaco-Ville, Monaco"	"Promenade des Anglais, Nice, France"	23049	2337
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	152049	7644
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Place de la Comedie, Montpellier, France"	287382	11321
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Oberstdorf, Germany"	831587	29206
"Piazza della Signoria, Florence, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1476439	49176
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Piazza San Pietro, Vatican City"	1273119	45015
Old Port of Marseille	"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	1231770	40954
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1902	561
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Port Hercule, Monte Carlo, Monaco"	186344	8812
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Place de la Comedie, Montpellier, France"	1027311	37428
Old Port of Marseille	"Port Hercule, Monte Carlo, Monaco"	226600	8777
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	1658926	57898
"Promenade des Anglais, Nice, France"	"Crimeo 114, 6563 Mesocco, Switzerland"	446351	17338
"Place du Palais, Monaco-Ville, Monaco"	"Oberstdorf, Germany"	654975	27483
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	512186	18767
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Piazza San Pietro, Vatican City"	4549	835
"Oberstdorf, Germany"	"Port Hercule, Monte Carlo, Monaco"	654554	27471
"Castle Hill, Nice, France"	"Andorra la Vella, Andorra"	639320	25736
"Place du Palais, Monaco-Ville, Monaco"	Old Port of Marseille	226682	8787
"Vernazza, Province of La Spezia, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1371476	49608
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	751340	28952
Old Port of Marseille	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	523372	20112
"BMW Welt, Munich, Germany"	"Piazza San Pietro, Vatican City"	928460	33110
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	417921	18166
"Castle Hill, Nice, France"	"Place de la Bourse, Bordeaux, France"	803041	26397
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Mont Boron, Nice, France"	197764	9094
"Place de la Bourse, Bordeaux, France"	"Oberstdorf, Germany"	1121704	41425
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	1659816	58051
"Place de la Comedie, Montpellier, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	751417	28382
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Port Hercule, Monte Carlo, Monaco"	688205	25926
Old Port of Marseille	"Place de la Bourse, Bordeaux, France"	646617	21022
"Castle Hill, Nice, France"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	319077	13721
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Place de la Comedie, Montpellier, France"	645188	24437
"Parc national des Calanques, Marseille, France"	"Andorra la Vella, Andorra"	490229	21085
"Place du Capitole, Toulouse, France"	"Mont Boron, Nice, France"	571994	19264
"Castle Hill, Nice, France"	"Mont Boron, Nice, France"	2934	501
"Piazza San Pietro, Vatican City"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1304705	46845
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Andorra la Vella, Andorra"	1074788	41836
"Promenade des Anglais, Nice, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	425967	17608
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1657837	58082
"Place du Capitole, Toulouse, France"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	1202781	41648
"Castle Hill, Nice, France"	"Pantheon, Piazza della Rotonda, Rome, Italy"	699220	26743
